ArticleID,RatioID,PubMedID,Title,Affiliation,PubYear,PrimAuthLastName,PrimAuthFirstName,PrimAuthFMInitials,DisplayRatio,ComparatorID,InterventionPhrase,ComparatorPhrase,CI_ICER,CI_ICERText,RatioUncertainty,IncrementalAnalysisCorrect,IncrementalAnalysisRecalculated,Rating,RatingUncertainty,Country,SuperRegion_SubSaharanAfrica,SuperRegion_SoutheastAsiaOceania,SuperRegion_SouthAsia,SuperRegion_NorthAfricaMidEast,SuperRegion_HighIncome,SuperRegion_EuropeCentralAsia,SuperRegion_LatinAmerica,SuperRegion_NA,SuperRegion_Multiple,WBIncome_High,WBIncome_UpperMiddle,WBIncome_LowerMiddle,WBIncome_Low
2008-01-01735,2008-01-01735-07,18945403,Mathematical models of cervical cancer prevention in Latin America and the Caribbean.,"Program in Health Decision Science, Department of Health Policy and Management, Harvard School of Public Health, Boston, MA, USA. sue_goldie@harvard.edu",2008,Goldie,Sue J,SJ,250,2,Human papilloma virus 16/18 vaccination,Standard/Usual Care,0.0,,,0,0,6.0,0,Multiple Countries,0,0,0,0,0,0,0,0,1,0,0,0,0
2014-01-02189,2014-01-02189-10,25103394,Cost-effectiveness of female human papillomavirus vaccination in 179 countries: a PRIME modelling study.,"Department of Infectious Disease Epidemiology, London School of Hygiene &Tropical Medicine, London, UK; Modelling and Economics Unit, Public HealthEngland, London, UK.",2014,Jit,Mark,M,13000,3,Human papillomavirus (HPV) vaccination,None,0.0,,,0,0,7.0,0,Multiple Countries,0,0,0,1,0,1,0,0,1,0,1,0,1
2017-01-02961,2017-01-02961-12,28073749,Cost effectiveness of a government supported policy strategy to decrease sodium intake: global analysis across 183 nations.,"Stanford University, Stanford, CA, USA, and Institute for Fiscal Studies, London,UK.",2017,Webb,Michael,,7700,3,Policy intervention to reduce sodium consumption by 10%,None,1.0,"$5,327.12 - $12,043.73",,1,0,5.0,0,Multiple Countries,0,0,0,0,0,0,0,1,0,0,0,0,0
2014-01-02189,2014-01-02189-11,25103394,Cost-effectiveness of female human papillomavirus vaccination in 179 countries: a PRIME modelling study.,"Department of Infectious Disease Epidemiology, London School of Hygiene &Tropical Medicine, London, UK; Modelling and Economics Unit, Public HealthEngland, London, UK.",2014,Jit,Mark,M,110000,3,Human papillomavirus (HPV) vaccination,None,0.0,,,0,0,7.0,0,Multiple Countries,0,0,0,1,0,1,0,0,1,0,1,0,1
2017-01-02961,2017-01-02961-13,28073749,Cost effectiveness of a government supported policy strategy to decrease sodium intake: global analysis across 183 nations.,"Stanford University, Stanford, CA, USA, and Institute for Fiscal Studies, London,UK.",2017,Webb,Michael,,4700,3,Policy intervention to reduce sodium consumption by 10%,None,1.0,"$3,360.83 - $7,000.09",,1,0,5.0,0,Multiple Countries,0,0,0,0,0,0,0,1,0,0,0,0,0
2009-01-01512,2009-01-01512-03,20496620,"A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries.","HarvestPlus, International Food Policy Research Institute, 2033 K Street NW, Washington DC 20006, USA. J.Fielder@cgiar.org",2009,Fiedler,John L,JL,57,3,"Wheat fortification (""reduced package"", consists of iron, folic acid, and vitamin B12)",None,0.0,,,0,0,3.0,1,Multiple Countries,0,0,0,0,0,0,0,0,1,0,0,0,0
2009-01-01612,2009-01-01612-01,19824189,Cost-effectiveness of new-generation oral cholera vaccines: a multisite analysis.,"Department of Environmental Sciences and Engineering, University of North Carolina at Chapel Hill, Chapel Hill, NC 27599, USA. jeuland@email.unc.edu",2009,Jeuland,Marc,M,3500,3,Oral cholera WC* vaccination (without herd protection effects),None,0.0,,"""Sensitivity analysis reveals that (these) model parameters have a large influence on the ratios in these different sites: the cost ofvaccination, incidence, the CFR, the vaccine’s duration"" (specific numbers however are not provided for the ratios without herd effects)",1,0,5.5,0,Multiple Countries,1,1,1,0,0,0,0,0,1,0,0,1,1
2016-01-02812,2016-01-02812-02,27498947,Provision of hearing aids to children in Bangladesh: costs and cost-effectiveness of a community-based and a centre-based approach.,"a Department of Clinical Sciences , Lund University , Malmo , Sweden.",2016,Ekman,Bjorn,,500,3,Center-based approach for provision of hearing aids,None,0.0,,,1,0,4.0,0,Bangladesh,0,0,1,0,0,0,0,0,0,0,0,1,0
2009-01-01612,2009-01-01612-04,19824189,Cost-effectiveness of new-generation oral cholera vaccines: a multisite analysis.,"Department of Environmental Sciences and Engineering, University of North Carolina at Chapel Hill, Chapel Hill, NC 27599, USA. jeuland@email.unc.edu",2009,Jeuland,Marc,M,2200,3,Oral cholera WC* vaccination (withouth herd protection effects),None,0.0,,"""Sensitivity analysis reveals that (these) model parameters have a large influence on the ratios in these different sites: the cost ofvaccination, incidence, the CFR, the vaccine’s duration"" (specific numbers however are not provided for the ratios without herd effects)",1,0,5.5,0,Multiple Countries,1,1,1,0,0,0,0,0,1,0,0,1,1
2010-01-01517,2010-01-01517-61,20470426,Health and economic impact of rotavirus vaccination in GAVI-eligible countries.,"Center for Health Decision Science, Department of Health Policy and Management, Harvard School of Public Health, Boston, MA, USA. sykim@hsph.harvard.edu",2010,Kim,Sun-Young,SY,260,3,Rotavirus vaccination program,None,0.0,,,1,0,6.0,0,Zimbabwe,1,1,1,1,0,1,1,0,1,0,1,1,1
2003-01-0472,2003-01-0472-01,12676406,A cost effective small hospital in Bangladesh: what it can mean for emergency obstetric care.,"Research Unit, Gonoshasthaya Kendra Health Project, Savar, Bangladesh. cwm1@columbia.edu",2003,McCord,C,C,18,3,All hospital activities related to treatment for potentially life threatening diseases,None,0.0,,,0,0,3.0,1,Bangladesh,0,0,1,0,0,0,0,0,0,0,0,1,0
2012-01-01121,2012-01-01121-03,22558089,Obstructed labor and caesarean delivery: the cost and benefit of surgical intervention.,"Department of Otology and Laryngology, Harvard Medical School, Boston, Massachusetts, United States of America.",2012,Alkire,Blake C,BC,420,2,Cesarean Delivery following obstructed labor,Standard/Usual Care,0.0,,,1,0,4.0,1,Zambia,1,1,1,1,0,1,1,0,1,1,1,1,1
2017-01-03891,2017-01-03891-02,28623028,Impact and cost-effectiveness of rotavirus vaccination in Bangladesh.,"PATH, 2201 Westlake Ave, Suite 200, Seattle, WA 98121, USA. Electronic address:cpecenka@path.org.",2017,Pecenka,Clint,,84,3,Rotavirus vaccine,None,0.0,,,0,0,5.5,0,Bangladesh,0,0,1,0,0,0,0,0,0,0,0,1,0
2015-01-01975,2015-01-01975-02,25898716,Assessing alternative industrial fortification portfolios: a Bangladesh case study.,,2015,Fiedler,John L,JL,16,3,Zinc oxide + ferrous fumarate + vitamin A + 7 other micronutrients fortification,None,0.0,,,1,0,4.0,0,Bangladesh,0,0,1,0,0,0,0,0,0,0,0,1,0
2017-01-02871,2017-01-02871-08,28400955,Cost-effectiveness analysis of revised WHO guidelines for management of childhood pneumonia in 74 Countdown countries.,"Usher Institute of Population Health Sciences and Informatics, University ofEdinburgh, Edinburgh, UK; Department of Preventive Dentistry, Peking UniversitySchool and Hospital of Stomatology, Beijing, China.",2017,Zhang,Shanshan,,73,3,Childhood pneumonia management according to 2013 World Health Organization Guidelines,None,0.0,,,1,0,5.5,0,Multiple Countries,0,0,0,0,0,0,0,1,0,0,0,0,0
2009-01-01512,2009-01-01512-53,20496620,"A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries.","HarvestPlus, International Food Policy Research Institute, 2033 K Street NW, Washington DC 20006, USA. J.Fielder@cgiar.org",2009,Fiedler,John L,JL,300,3,Vegetable oil fortification (consists of vitamin A),None,0.0,,,0,0,3.0,1,Multiple Countries,0,0,0,0,0,0,0,0,1,0,0,0,0
2017-01-03891,2017-01-03891-04,28623028,Impact and cost-effectiveness of rotavirus vaccination in Bangladesh.,"PATH, 2201 Westlake Ave, Suite 200, Seattle, WA 98121, USA. Electronic address:cpecenka@path.org.",2017,Pecenka,Clint,,1500,3,Rotavirus vaccine,None,0.0,,,0,0,5.5,0,Bangladesh,0,0,1,0,0,0,0,0,0,0,0,1,0
2008-01-01784,2008-01-01784-66,18550229,"Health and economic outcomes of HPV 16,18 vaccination in 72 GAVI-eligible countries.","Program in Health Decision Science, Department of Health Policy and Management, Harvard School of Public Health, 718 Huntington Avenue, Boston, MA 02115, USA. sue.goldie@harvard.edu",2008,Goldie,Sue J,SJ,63,3,"HPV 16, 18 vaccination",None,0.0,,"Discount rate, per dose cost, cancer incidence, ratio deaths/caes, cancer costs, access to care",0,0,5.5,0,Multiple Countries,0,0,0,0,0,0,0,0,1,0,0,0,0
2009-01-01512,2009-01-01512-40,20496620,"A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries.","HarvestPlus, International Food Policy Research Institute, 2033 K Street NW, Washington DC 20006, USA. J.Fielder@cgiar.org",2009,Fiedler,John L,JL,11000,3,"Maize fortification (""reduced package"", consists of iron, folic acid, and vitamin B12)",None,0.0,,,0,0,3.0,1,Multiple Countries,0,0,0,0,0,0,0,0,1,0,0,0,0
2017-01-03735,2017-01-03735-02,29099653,Cost-effectiveness analysis of introducing universal childhood rotavirus vaccination in Bangladesh.,,2017,Sarker,Abdur Razzaque,,750,3,Universal childhood rotavirus vaccination with ROTAVAC vaccine,None,0.0,,,1,0,6.0,0,Bangladesh,0,0,1,0,0,0,0,0,0,0,0,1,0
2013-01-01069,2013-01-01069-01,22879522,Cost-effectiveness of the community-based management of severe acute malnutrition by community health workers in southern Bangladesh.,"Friedman School of Nutrition Science & Policy, Tufts University, Boston, MA 02111, USA. chloe.puett@alumni.tufts.edu",2013,Puett,Chloe,C,29,3,Community health workerss received training to implement the community case management of severe acute malnutrition,None,1.0,21-31,"Examination of two-way input–output scatter plots revealed
that the estimate of DALYs averted was only marginally
sensitive to all input variables apart from the projected
number of deaths in the patient cohort, to which it was
highly sensitive. This variable accounted for almost all variation
in the DALY estimates. A one-way sensitivity analysis was used
to examine the variation in outcomes when using different
mortality estimates (analysis not shown).",1,0,4.5,0,Bangladesh,0,0,1,0,0,0,0,0,0,0,0,1,0
2015-01-02313,2015-01-02313-14,26633766,Evaluating the impact of pulse oximetry on childhood pneumonia mortality in resource-poor settings.,"MRC Centre for Outbreak Analysis and Modelling, Department of Infectious Disease Epidemiology, Faculty of Medicine, Imperial College London, Norfolk Place, LondonW2 1PG, UK.",2015,Floyd,Jessica,,20,4,Pulse oximetry with integrated management of childhood illness,World Health Organization (WHO) guidelines for integrated management of childhood illness (IMCI) alone to diagnose pneumonia cases as severe or non-severe,0.0,,,0,0,3.0,0,Uganda,1,1,1,1,0,0,0,0,1,0,0,1,1
2017-01-03891,2017-01-03891-01,28623028,Impact and cost-effectiveness of rotavirus vaccination in Bangladesh.,"PATH, 2201 Westlake Ave, Suite 200, Seattle, WA 98121, USA. Electronic address:cpecenka@path.org.",2017,Pecenka,Clint,,890,3,Rotavirus vaccine,None,0.0,,,0,0,5.5,0,Bangladesh,0,0,1,0,0,0,0,0,0,0,0,1,0
2011-01-01317,2011-01-01317-61,21679420,Comparative evaluation of the potential impact of rotavirus versus HPV vaccination in GAVI-eligible countries: a preliminary analysis focused on the relative disease burden.,"Center for Health Decision Science, Harvard School of Public Health, Boston, MA, USA.",2011,Kim,Sun-Young,SY,92,3,Rotavirus vaccine,None,0.0,,,1,0,6.5,0,Zimbabwe,1,1,1,1,0,1,1,0,1,0,1,1,1
2009-01-01612,2009-01-01612-05,19824189,Cost-effectiveness of new-generation oral cholera vaccines: a multisite analysis.,"Department of Environmental Sciences and Engineering, University of North Carolina at Chapel Hill, Chapel Hill, NC 27599, USA. jeuland@email.unc.edu",2009,Jeuland,Marc,M,900,3,Oral cholera WC* vaccination (with herd protection effects),None,0.0,,ICER= 766 from societal perspective,1,0,5.5,0,Multiple Countries,1,1,1,0,0,0,0,0,1,0,0,1,1
2017-01-03891,2017-01-03891-05,28623028,Impact and cost-effectiveness of rotavirus vaccination in Bangladesh.,"PATH, 2201 Westlake Ave, Suite 200, Seattle, WA 98121, USA. Electronic address:cpecenka@path.org.",2017,Pecenka,Clint,,59,3,Rotavirus vaccine,None,0.0,,,0,0,5.5,0,Bangladesh,0,0,1,0,0,0,0,0,0,0,0,1,0
2013-01-00791,2013-01-00791-01,24115797,"Economic evaluation of neonatal care packages in a cluster-randomized controlled trial in Sylhet, Bangladesh.","Department of International Health, Johns Hopkins Bloomberg School of Public Health, Suite E-8139, 615 North Wolfe Street, Baltimore MD 21205, United States of America (USA).",2013,LeFevre,Amnesty E,AE,120,2,Neonatal care package- 2 antenatal home visits by community health workers followed by 3 postnatal home visits,Standard/Usual Care- pre-existing levels of maternal and neonatal care,1.0,65.15-266.60,Ratios also calculated from program (103.49) and health care payer (2938) perspectives,1,0,4.5,0,Bangladesh,0,0,1,0,0,0,0,0,0,0,0,1,0
2017-01-02961,2017-01-02961-14,28073749,Cost effectiveness of a government supported policy strategy to decrease sodium intake: global analysis across 183 nations.,"Stanford University, Stanford, CA, USA, and Institute for Fiscal Studies, London,UK.",2017,Webb,Michael,,190,3,Policy intervention to reduce sodium consumption by 10%,None,1.0,$129.75 - $292.38,,1,0,5.0,0,Multiple Countries,0,0,0,0,0,0,0,1,0,0,0,0,0
2013-01-01042,2013-01-01042-01,23002251,"Forecasting burden of long-term disability from neonatal conditions: results from the Projahnmo I trial, Sylhet, Bangladesh.","Health Systems Program, Department of International Health, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD 21205, USA. sshillcu@gmail.com",2013,Shillcutt,Samuel D,SD,120,2,"Community-based interventions for maternal and newborn health (e.g. pregnancy surveillance, birth preparedness, essential newborn care training, referral and/or home treatment for sepsis)",Standard/Usual Care,1.0,65.15-266.60,% very late preterm sequelae,1,0,4.5,0,Bangladesh,0,0,1,0,0,0,0,0,0,0,0,1,0
2009-01-01612,2009-01-01612-07,19824189,Cost-effectiveness of new-generation oral cholera vaccines: a multisite analysis.,"Department of Environmental Sciences and Engineering, University of North Carolina at Chapel Hill, Chapel Hill, NC 27599, USA. jeuland@email.unc.edu",2009,Jeuland,Marc,M,3400,3,Oral cholera WC* vaccination (without herd protection effects),None,0.0,,"""Sensitivity analysis reveals that (these) model parameters have a large influence on the ratios in these different sites: the cost ofvaccination, incidence, the CFR, the vaccine’s duration"" (specific numbers however are not provided for the ratios without herd effects)",1,0,5.5,0,Multiple Countries,1,1,1,0,0,0,0,0,1,0,0,1,1
2015-01-01975,2015-01-01975-01,25898716,Assessing alternative industrial fortification portfolios: a Bangladesh case study.,,2015,Fiedler,John L,JL,20,3,Zinc + sodium iron ethylenediaminetetraacetate + vitamin A + 7 other micronutrients fortification,None,0.0,,,1,0,4.0,0,Bangladesh,0,0,1,0,0,0,0,0,0,0,0,1,0
2008-01-01740,2008-01-01740-16,18945411,Mathematical models of cervical cancer prevention in the Asia Pacific region.,"Program in Health Decision Science, Department of Health Policy and Management, Harvard School of Public Health, Boston, MA, USA. sue_goldie@harvard.edu",2008,Goldie,Sue J,SJ,63,3,Human papilloma virus 16/18 vaccination,None,0.0,,,0,0,6.0,0,Multiple Countries,0,0,0,0,0,0,0,0,1,0,0,0,0
2017-01-02871,2017-01-02871-07,28400955,Cost-effectiveness analysis of revised WHO guidelines for management of childhood pneumonia in 74 Countdown countries.,"Usher Institute of Population Health Sciences and Informatics, University ofEdinburgh, Edinburgh, UK; Department of Preventive Dentistry, Peking UniversitySchool and Hospital of Stomatology, Beijing, China.",2017,Zhang,Shanshan,,98,3,Childhood pneumonia management according to 2005 World Health Organization Guidelines,None,0.0,,,1,0,5.5,0,Multiple Countries,0,0,0,0,0,0,0,1,0,0,0,0,0
2015-01-01975,2015-01-01975-04,25898716,Assessing alternative industrial fortification portfolios: a Bangladesh case study.,,2015,Fiedler,John L,JL,8,3,Zinc + Ferrous fumarate + vitamin A fortification,None,0.0,,,1,0,4.0,0,Bangladesh,0,0,1,0,0,0,0,0,0,0,0,1,0
2014-01-02222,2014-01-02222-53,24969782,Scaling up integrated prevention campaigns for global health: costs and cost-effectiveness in 70 countries.,"Health Strategies International, Oakland, California, USA.",2014,Marseille,Elliot,E,1200,3,"Integrated prevention campaign (IPC) against diarrhea (household water filters), malaria (bed-nets) and HIV (counseling, testing, cotrimoxazole prophylaxis, referral to treatment & condom distribution)",None,0.0,,,1,0,5.0,0,Zimbabwe,1,1,1,1,1,1,1,0,1,0,1,1,1
2017-01-03891,2017-01-03891-03,28623028,Impact and cost-effectiveness of rotavirus vaccination in Bangladesh.,"PATH, 2201 Westlake Ave, Suite 200, Seattle, WA 98121, USA. Electronic address:cpecenka@path.org.",2017,Pecenka,Clint,,150,3,Rotavirus vaccine,None,0.0,,,0,0,5.5,0,Bangladesh,0,0,1,0,0,0,0,0,0,0,0,1,0
1998-01-02510,1998-01-02510-03,9781750,An assessment of the value of Haemophilus influenzae type b conjugate vaccine in  Asia.,"Children's Vaccine Initiative, World Health Organization, Geneva, Switzerland.",1998,Miller,M A,,49,3,"Haemophilus influenzae type B (HiB) vaccinations program: administered at months 3, 4 and 5 after birth",None,0.0,,,0,0,5.0,1,Multiple Countries,0,0,0,0,0,0,0,0,1,0,0,0,0
2012-01-01126,2012-01-01126-01,22520124,Distributional impact of rotavirus vaccination in 25 GAVI countries: estimating disparities in benefits and cost-effectiveness.,"Department of Environmental and Global Health, Center for African Studies, Emerging Pathogens Institute, University of Florida, Gainesville, FL, USA. rrheing@ufl.edu",2012,Rheingans,Richard,R,160,2,Rotavirus vaccination,Standard/Usual Care,0.0,,,0,0,3.0,1,Zambia,1,1,1,0,0,0,1,0,1,0,0,1,1
2017-01-03735,2017-01-03735-01,29099653,Cost-effectiveness analysis of introducing universal childhood rotavirus vaccination in Bangladesh.,,2017,Sarker,Abdur Razzaque,,770,3,Universal childhood rotavirus vaccination with ROTAVAC vaccine,None,0.0,,,1,0,6.0,0,Bangladesh,0,0,1,0,0,0,0,0,0,0,0,1,0
2011-01-01317,2011-01-01317-133,21679420,Comparative evaluation of the potential impact of rotavirus versus HPV vaccination in GAVI-eligible countries: a preliminary analysis focused on the relative disease burden.,"Center for Health Decision Science, Harvard School of Public Health, Boston, MA, USA.",2011,Kim,Sun-Young,SY,70,3,Human papillomavirus (HPV) vaccine,None,0.0,,,1,0,6.5,0,Zimbabwe,1,1,1,1,0,1,1,0,1,0,1,1,1
2012-01-01005,2012-01-01005-02,23147971,Cost-effectiveness of an injury and drowning prevention program in Bangladesh.,"Centre for Injury Prevention and Research, New DOHS Mohakhali, Bangladesh.",2012,Rahman,Fazlur,F,910,3,Anchal: drowning prevention program by sequestering children in creches,None,1.0,589-1777,,1,0,4.0,0,Bangladesh,0,0,1,0,0,0,0,0,0,0,0,1,0
2009-01-01512,2009-01-01512-90,20496620,"A strategic approach to the unfinished fortification agenda: feasibility, costs, and cost-effectiveness analysis of fortification programs in 48 countries.","HarvestPlus, International Food Policy Research Institute, 2033 K Street NW, Washington DC 20006, USA. J.Fielder@cgiar.org",2009,Fiedler,John L,JL,500,3,Sugar fortification (consists of vitamin A),None,0.0,,,0,0,3.0,1,Multiple Countries,0,0,0,0,0,0,0,0,1,0,0,0,0
2012-01-01005,2012-01-01005-01,23147971,Cost-effectiveness of an injury and drowning prevention program in Bangladesh.,"Centre for Injury Prevention and Research, New DOHS Mohakhali, Bangladesh.",2012,Rahman,Fazlur,F,410,3,Combination of programs to prevent drowning: Anchal (sequestering children in creches) and SwimSafe (teaching children to swim),None,1.0,232-1364,,1,0,4.0,0,Bangladesh,0,0,1,0,0,0,0,0,0,0,0,1,0
2015-01-01975,2015-01-01975-03,25898716,Assessing alternative industrial fortification portfolios: a Bangladesh case study.,,2015,Fiedler,John L,JL,13,3,Zinc oxide + sodium iron ethylenediaminetetraacetate + vitamin A fortification,None,0.0,,,1,0,4.0,0,Bangladesh,0,0,1,0,0,0,0,0,0,0,0,1,0
2014-01-02189,2014-01-02189-12,25103394,Cost-effectiveness of female human papillomavirus vaccination in 179 countries: a PRIME modelling study.,"Department of Infectious Disease Epidemiology, London School of Hygiene &Tropical Medicine, London, UK; Modelling and Economics Unit, Public HealthEngland, London, UK.",2014,Jit,Mark,M,540,3,Human papillomavirus (HPV) vaccination,None,0.0,,,0,0,7.0,0,Multiple Countries,0,0,0,1,0,1,0,0,1,0,1,0,1
2013-01-01069,2013-01-01069-02,22879522,Cost-effectiveness of the community-based management of severe acute malnutrition by community health workers in southern Bangladesh.,"Friedman School of Nutrition Science & Policy, Tufts University, Boston, MA 02111, USA. chloe.puett@alumni.tufts.edu",2013,Puett,Chloe,C,240,3,Inpatient treatment for severe acute malnutrition,None,1.0,124-467,,1,0,4.5,0,Bangladesh,0,0,1,0,0,0,0,0,0,0,0,1,0
2012-01-01005,2012-01-01005-03,23147971,Cost-effectiveness of an injury and drowning prevention program in Bangladesh.,"Centre for Injury Prevention and Research, New DOHS Mohakhali, Bangladesh.",2012,Rahman,Fazlur,F,96,3,SwinSafe: drowning prevention program by teaching children to swim,None,1.0,51-561,,1,0,4.0,0,Bangladesh,0,0,1,0,0,0,0,0,0,0,0,1,0
2009-01-01612,2009-01-01612-03,19824189,Cost-effectiveness of new-generation oral cholera vaccines: a multisite analysis.,"Department of Environmental Sciences and Engineering, University of North Carolina at Chapel Hill, Chapel Hill, NC 27599, USA. jeuland@email.unc.edu",2009,Jeuland,Marc,M,590,3,Oral cholera WC* vaccination (with herd protection effects),None,0.0,,ICER=467 from societal perspective,1,0,5.5,0,Multiple Countries,1,1,1,0,0,0,0,0,1,0,0,1,1
2017-01-03891,2017-01-03891-06,28623028,Impact and cost-effectiveness of rotavirus vaccination in Bangladesh.,"PATH, 2201 Westlake Ave, Suite 200, Seattle, WA 98121, USA. Electronic address:cpecenka@path.org.",2017,Pecenka,Clint,,630,3,Rotavirus vaccine,None,0.0,,,0,0,5.5,0,Bangladesh,0,0,1,0,0,0,0,0,0,0,0,1,0
2009-01-01612,2009-01-01612-02,19824189,Cost-effectiveness of new-generation oral cholera vaccines: a multisite analysis.,"Department of Environmental Sciences and Engineering, University of North Carolina at Chapel Hill, Chapel Hill, NC 27599, USA. jeuland@email.unc.edu",2009,Jeuland,Marc,M,550,3,"Oral cholera WC* vaccination , with herd protection effects.",None,0.0,,ICER=402 from the societal perspective,1,0,5.5,0,Multiple Countries,1,1,1,0,0,0,0,0,1,0,0,1,1
2016-01-02812,2016-01-02812-01,27498947,Provision of hearing aids to children in Bangladesh: costs and cost-effectiveness of a community-based and a centre-based approach.,"a Department of Clinical Sciences , Lund University , Malmo , Sweden.",2016,Ekman,Bjorn,,240,3,Community-based model for provision of hearing aids,None,0.0,,,1,0,4.0,0,Bangladesh,0,0,1,0,0,0,0,0,0,0,0,1,0
2017-01-02961,2017-01-02961-15,28073749,Cost effectiveness of a government supported policy strategy to decrease sodium intake: global analysis across 183 nations.,"Stanford University, Stanford, CA, USA, and Institute for Fiscal Studies, London,UK.",2017,Webb,Michael,,5100,3,Policy intervention to reduce sodium consumption by 10%,None,1.0,"$3,635.51 - $7,714.75",,1,0,5.0,0,Multiple Countries,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-01-01735,2008-01-01735-05,18945403,Mathematical models of cervical cancer prevention in Latin America and the Caribbean.,"Program in Health Decision Science, Department of Health Policy and Management, Harvard School of Public Health, Boston, MA, USA. sue_goldie@harvard.edu",2008,Goldie,Sue J,SJ,Cost-Saving,2,Human papilloma virus 16/18 vaccination,Standard/Usual Care,0.0,,,0,0,6.0,0,Multiple Countries,0,0,0,0,0,0,0,0,1,0,0,0,0
2014-01-02189,2014-01-02189-13,25103394,Cost-effectiveness of female human papillomavirus vaccination in 179 countries: a PRIME modelling study.,"Department of Infectious Disease Epidemiology, London School of Hygiene &Tropical Medicine, London, UK; Modelling and Economics Unit, Public HealthEngland, London, UK.",2014,Jit,Mark,M,9100,3,Human papillomavirus (HPV) vaccination,None,0.0,,,0,0,7.0,0,Multiple Countries,0,0,0,1,0,1,0,0,1,0,1,0,1
2014-01-02189,2014-01-02189-14,25103394,Cost-effectiveness of female human papillomavirus vaccination in 179 countries: a PRIME modelling study.,"Department of Infectious Disease Epidemiology, London School of Hygiene &Tropical Medicine, London, UK; Modelling and Economics Unit, Public HealthEngland, London, UK.",2014,Jit,Mark,M,1900,3,Human papillomavirus (HPV) vaccination,None,0.0,,,0,0,7.0,0,Multiple Countries,0,0,0,1,0,1,0,0,1,0,1,0,1
2017-01-02961,2017-01-02961-16,28073749,Cost effectiveness of a government supported policy strategy to decrease sodium intake: global analysis across 183 nations.,"Stanford University, Stanford, CA, USA, and Institute for Fiscal Studies, London,UK.",2017,Webb,Michael,,130,3,Policy intervention to reduce sodium consumption by 10%,None,1.0,$93.85 - $127.11,,1,0,5.0,0,Multiple Countries,0,0,0,0,0,0,0,1,0,0,0,0,0
2011-01-01312,2011-01-01312-01,21720546,Comparative economic evaluation of Haemophilus influenzae type b vaccination in Belarus and Uzbekistan.,"Hib Initiative, London School of Hygiene and Tropical Medicine, London, United Kingdom. ulla.griffiths@lshtm.ac.uk",2011,Griffiths,Ulla K,UK,11000,3,Haemophilus influenza Type B vaccination,None,0.0,,,1,0,6.0,0,Multiple Countries,0,0,0,0,0,1,0,0,0,0,1,1,0
2014-01-02189,2014-01-02189-15,25103394,Cost-effectiveness of female human papillomavirus vaccination in 179 countries: a PRIME modelling study.,"Department of Infectious Disease Epidemiology, London School of Hygiene &Tropical Medicine, London, UK; Modelling and Economics Unit, Public HealthEngland, London, UK.",2014,Jit,Mark,M,42000,3,Human papillomavirus (HPV) vaccination,None,0.0,,,0,0,7.0,0,Multiple Countries,0,0,0,1,0,1,0,0,1,0,1,0,1
2017-01-02961,2017-01-02961-17,28073749,Cost effectiveness of a government supported policy strategy to decrease sodium intake: global analysis across 183 nations.,"Stanford University, Stanford, CA, USA, and Institute for Fiscal Studies, London,UK.",2017,Webb,Michael,,780,3,Policy intervention to reduce sodium consumption by 10%,None,1.0,"$554.76 - $1,163.84",,1,0,5.0,0,Multiple Countries,0,0,0,0,0,0,0,1,0,0,0,0,0
2015-01-01960,2015-01-01960-01,25919158,Cost-effectiveness of HPV vaccination in Belize.,"Stapleton Lane Clinic, St John's, Antigua, West Indies. Electronic address:lesliewalwyn@gmail.com.",2015,Walwyn,Leslie,,460,3,Human papillomavirus (HPV) vaccination using quadrivalent and bivalent vaccines,None,0.0,,,1,0,6.0,0,Belize,0,0,0,0,0,0,1,0,0,0,1,0,0
2008-01-01735,2008-01-01735-09,18945403,Mathematical models of cervical cancer prevention in Latin America and the Caribbean.,"Program in Health Decision Science, Department of Health Policy and Management, Harvard School of Public Health, Boston, MA, USA. sue_goldie@harvard.edu",2008,Goldie,Sue J,SJ,13,2,Human papilloma virus 16/18 vaccination,Standard/Usual Care,0.0,,,0,0,6.0,0,Multiple Countries,0,0,0,0,0,0,0,0,1,0,0,0,0
2014-01-02189,2014-01-02189-16,25103394,Cost-effectiveness of female human papillomavirus vaccination in 179 countries: a PRIME modelling study.,"Department of Infectious Disease Epidemiology, London School of Hygiene &Tropical Medicine, London, UK; Modelling and Economics Unit, Public HealthEngland, London, UK.",2014,Jit,Mark,M,830,3,Human papillomavirus (HPV) vaccination,None,0.0,,,0,0,7.0,0,Multiple Countries,0,0,0,1,0,1,0,0,1,0,1,0,1
2017-01-02961,2017-01-02961-18,28073749,Cost effectiveness of a government supported policy strategy to decrease sodium intake: global analysis across 183 nations.,"Stanford University, Stanford, CA, USA, and Institute for Fiscal Studies, London,UK.",2017,Webb,Michael,,7800,3,Policy intervention to reduce sodium consumption by 10%,None,1.0,"$5,523.37 - $12,366.03",,1,0,5.0,0,Multiple Countries,0,0,0,0,0,0,0,1,0,0,0,0,0
