program_name,date_last_literature_review,total_benefits,taxpayer_benefits,non-taxpayer_benefits,costs,benefits_minus_costs_NPV,benefit_cost_ratio,chance_benefits_exceed_costs,chance_costs_exceed_benefits
Computer-based substance use prevention programs,Dec. 2014,2708,699,2010,-71,2637,38.13,70,30
Family Matters,Jun. 2016,1772,473,1299,-196,1576,9.04,74,26
Guiding Good Choices -formerly Preparing for the Drug Free Years,Jun. 2014,1869,558,1311,-674,1195,2.77,56,44
Family Check-Up -also known as Positive Family Support,Jun. 2014,-66,18,-84,-333,-399,-0.2,46,54
Home Instruction for Parents of Preschool Youngsters -HIPPY,Aug. 2017,3530,1306,2224,-4029,-499,0.88,46,54
Familias Unidas,Jun. 2016,-266,141,-407,-1486,-1752,-0.18,41,59
Healthy Families America,Jul. 2017,3232,2087,1145,-5072,-1840,0.64,42,58
Parents as Teachers,Aug. 2017,542,829,-287,-4467,-3926,0.12,26,74
Early Start -New Zealand,Jun. 2017,-1713,-223,-1490,-3520,-5233,-0.49,2,98
Infant Health and Development Program -IHDP,Aug. 2017,-1590,2911,-4501,-39598,-41188,-0.04,16,84
Computer-based programs for smoking cessation,Dec. 2014,32321,6704,25617,-41,32280,794.18,100,0
Quantum Opportunities Program,Apr. 2012,49449,18286,31164,-27323,22127,1.81,63,37
Text messaging programs for smoking cessation,Dec. 2014,19202,3798,15404,-53,19149,363.46,100,0
Mentoring for students: community-based -taxpayer costs only,Jun. 2014,13922,4235,9687,-1306,12617,10.66,72,28
Mentoring for students: community-based -with volunteer costs,Jun. 2014,13576,4410,9165,-3299,10277,4.11,67,33
Communities That Care,Apr. 2012,3148,863,2286,-593,2555,5.31,82,18
Project STAR,Jul. 2014,1708,491,1217,-516,1192,3.31,72,28
Project Northland,Jun. 2014,858,238,621,-191,668,4.51,73,27
PROSPER,Jun. 2016,998,376,621,-529,469,1.89,59,41
Children's Aid Society--Carrera,Apr. 2012,7571,4227,3344,-14956,-7384,0.51,42,58
CASASTART,Apr. 2012,-7439,-739,-6701,-7158,-14598,-1.04,23,77
Fast Track prevention program,Apr. 2012,-22219,2254,-24473,-61908,-84127,-0.36,0,100
Access to tobacco quitlines,Dec. 2014,20789,1580,19210,-217,20572,95.85,95,5
More intensive tobacco quitlines -compared to less intensive quitlines,Dec. 2014,9687,1577,8111,-132,9556,73.51,100,0
Anti-smoking media campaign youth effect,Dec. 2014,4128,1035,3094,-28,4100,147.33,100,0
Anti-smoking media campaigns adult effect,Dec. 2014,2034,585,1449,-36,1998,57.07,87,13
Triple-P Positive Parenting Program -System,Apr. 2012,1391,437,954,-152,1240,9.17,63,37
Multicomponent environmental interventions to prevent youth tobacco use,Jun. 2016,1318,354,964,-157,1161,8.42,86,14
Multicomponent environmental interventions to prevent youth alcohol use,Jun. 2016,-174,-37,-137,-106,-281,-1.64,27,73
Career and technical education academies,Dec. 2016,14943,4879,10065,-5566,9377,2.68,85,15
Case management for unemployment insurance claimants,Nov. 2015,3628,1162,2467,-182,3446,19.9,68,32
Training with work experience for adult welfare recipients,Nov. 2015,6967,3805,3162,-4218,2749,1.65,78,22
Job search and placement,Nov. 2015,2387,1512,875,-522,1866,4.58,67,33
Work experience,Nov. 2015,3838,2574,1264,-2081,1757,1.84,80,20
Training with work experience for adults not targeting welfare recipients,Nov. 2015,5368,2394,2974,-4142,1226,1.3,55,45
Case management for former welfare recipients,Nov. 2015,-865,426,-1291,-2950,-3815,-0.29,19,81
Case management for welfare recipients or low-income individuals,Nov. 2015,-903,286,-1189,-2982,-3885,-0.3,17,83
Training no work experience,Nov. 2015,3923,2404,1519,-8394,-4470,0.47,39,61
Training with work experience for youth,Nov. 2015,-2060,823,-2882,-7478,-9538,-0.28,34,66
College advising provided by counselors -for high school students,Dec. 2016,24510,5623,18888,-329,24182,74.56,100,0
Dual enrollment -for high school students,Dec. 2016,20431,6175,14256,-1509,18922,13.54,86,14
Summer outreach counseling -for high school graduates,Dec. 2016,18802,4381,14421,-96,18706,195.39,90,10
Performance-based scholarships -for high school students,Dec. 2016,8457,1928,6529,-1507,6950,5.61,74,26
Text message reminders -for high school graduates,Dec. 2016,978,49,929,-7,971,135.71,53,47
College advising provided by peer mentors -for high school students,Dec. 2016,1617,-348,1965,-784,833,2.06,50,50
Opening Doors advising in community college,Dec. 2016,-1377,303,-1680,-811,-2188,-1.7,22,78
